codigo_produto;descricao;um;qtde_cx;codigo_barras;tipo;descricao_tecnica;estoque;preco;preco_promocional
10.091;FURADEIRA DE ALTA ROTACAO 6.5MM 127V M6501B MAKITA;PC;;088381731058;FERRAMENTAS;"Furadeira de Alta Rotação 6,5mm 230 Watts - M6501B - MAKITA

Informações Gerais:
- Ideal para trabalhos profissionais.
- Corpo emborrachado.
- Dupla isolação.
- Velocidade variável.
- Rotação reversível.

Características Técnicas:
- Potência: 230W
- Rotações por minuto: 0 - 4.500

Capacidades:
- Madeira: 9mm
- Metal: 6.5mm
- Mandril: 6.5mm

Medidas:
- Comprimento: 203 mm
- Largura: 63 mm
- Altura: 171 mm
- Peso: 0.95 kg

Itens que acompanham:
1 Chave do mandril

* Imagens meramente ilustrativas.";2;434,9;389,99
10.092;FURADEIRA DE ALTA ROTACAO 6.5MM 220V M6501B MAKITA;PC;;088381696159;FERRAMENTAS;"Furadeira de Alta Rotação 6,5mm 230 Watts - M6501B - MAKITA

Informações Gerais:
- Ideal para trabalhos profissionais.
- Corpo emborrachado.
- Dupla isolação.
- Velocidade variável.
- Rotação reversível.

Características Técnicas:
- Potência: 230W
- Rotações por minuto: 0 - 4.500

Capacidades:
- Madeira: 9mm
- Metal: 6.5mm
- Mandril: 6.5mm

Medidas:
- Comprimento: 203 mm
- Largura: 63 mm
- Altura: 171 mm
- Peso: 0.95 kg

Itens que acompanham:
1 Chave do mandril

* Imagens meramente ilustrativas.";2;434,9;389,99
101.010;REFIL DO MOP GIRATORIO FIT FLASH LIMP RMOP5011;PC;1;7897753675028;UTILIDADES DOMÉSTICAS;"Refil do Mop Giratório Fit 
- RMOP5011 - FLASH LIMP Compátivel somente com Mop de Limpeza Giratório. Indicado para: 
- Lavar 
- Esfregar e secar pisos frios 
- Esfregar e secar pisos sintéticos 
- Esfregar e secar pisos em madeira 
* Imagens Meramente ilustrativas";23;21,9;0
10.109;CHAVE COMBINADA FOSFATIZADA 12MM CRV 1PC SPARTA;PC;;7899612715357;FERRAMENTAS;"Chave Combinada Fosfatizada em Aço CrV 12mm - 1490755 - SPARTA

Descrição:
A chave combinada é ideal para apertar ou afrouxar porcas, possuindo cabeças estreitas e com medidas diferentes em cada extremidade. 
- Feita em aço cromado vanádio
- Acabamento: fosfatizada

Medidas:
- Chave com 12mm
- Comprimento total: 200mm

* Imagens meramente ilustrativas.";11;9,99;0
134.660;CURVA ESG.PRIM. 50MM CURTA 90 TIGRE 26110505;PC;1;7897613328194;MATERIAL HIDRÁULICO;"Curva Esgoto Primario Curta 50mm 90 Graus - 26110505 - TIGRE 
Especificações(mm): 
*Imagem meramente ilustrativa";45;10,34;0
10.112;CHAVE COMBINADA FOSFATIZADA 14MM CRV 1PC SPARTA;PC;;7899612710048;FERRAMENTAS;"Chave Combinada Fosfatizada em Aço CrV 14mm - 1490955 - SPARTA

Descrição:
A chave combinada é ideal para apertar ou afrouxar porcas, possuindo cabeças estreitas e com medidas diferentes em cada extremidade. 
- Feita em aço cromado vanádio
- Acabamento: fosfatizada

Medidas:
- Chave com 14mm
- Comprimento total: 220mm

* Imagens meramente ilustrativas.";16;9,99;0
10.113;CHAVE COMBINADA FOSFATIZADA 15MM CRV 1PC SPARTA;PC;;7899612710192;FERRAMENTAS;"Chave Combinada Fosfatizada em Aço CrV 15mm - 1491055 - SPARTA

Descrição:
A chave combinada é ideal para apertar ou afrouxar porcas, possuindo cabeças estreitas e com medidas diferentes em cada extremidade. 
- Feita em aço cromado vanádio
- Acabamento: fosfatizada

Medidas:
- Chave com 15mm
- Comprimento total: 220mm

* Imagens meramente ilustrativas.";12;12,99;0
101.141;MULTIMETRO DIGITAL MINIPA ET-2030A;PC;1;7898112601078;FERRAMENTAS;"Multímetro Digital – ET2030A – MINIPA - Os multímetros digitais possuem uma grande precisão e agilidade nas leituras efetuadas, além de terem acopladas outras funções e filtros necessários para uma ampla gama de aplicações, sem a necessidade de se utilizar diversos equipamentos diferentes. 
Especificações técnicas: Display LCD/Contagem 3 1/2 Dígitos/2000 Tensa~o DC 2/20/200/1000V Tensão AC 200/750V Corrente DC 2m/20m/200m/20A Resistência 2k/20k/200k/2M/20MΩ Mudança de Faixa Manual Precisão Básica 0,50% Categoria de Segurança CAT II 300V Alimentação 1x9V 
Dimensões (mm)/Peso (g) 136x75x32/193 Garantia 12 meses";5;289,9;0
10.114;CHAVE COMBINADA FOSFATIZADA 16MM CRV 1PC SPARTA;PC;;7899612708939;FERRAMENTAS;"Chave Combinada Fosfatizada em Aço CrV 16mm - 1491155 - SPARTA

Descrição:
A chave combinada é ideal para apertar ou afrouxar porcas, possuindo cabeças estreitas e com medidas diferentes em cada extremidade. 
- Feita em aço cromado vanádio
- Acabamento: fosfatizada

Medidas:
- Chave com 16mm
- Comprimento total: 240mm

* Imagens meramente ilustrativas.";11;12,99;0
10.115;CHAVE COMBINADA FOSFATIZADA 17MM CRV 1PC SPARTA;PC;;7899612718754;FERRAMENTAS;"Chave Combinada Fosfatizada em Aço CrV 17mm - 1491255 - SPARTA

Descrição:
A chave combinada é ideal para apertar ou afrouxar porcas, possuindo cabeças estreitas e com medidas diferentes em cada extremidade. 
- Feita em aço cromado vanádio
- Acabamento: fosfatizada

Medidas:
- Chave com 17mm
- Comprimento total: 240mm

* Imagens meramente ilustrativas.";12;13,99;0
10.116;CHAVE COMBINADA FOSFATIZADA 18MM CRV 1PC SPARTA;PC;;7899612718808;FERRAMENTAS;"Chave Combinada Fosfatizada em Aço CrV 18mm - 1491355 - SPARTA

Descrição:
A chave combinada é ideal para apertar ou afrouxar porcas, possuindo cabeças estreitas e com medidas diferentes em cada extremidade. 
- Feita em aço cromado vanádio
- Acabamento: fosfatizada

Medidas:
- Chave com 18mm
- Comprimento total: 240mm

* Imagens meramente ilustrativas.";17;14,99;0
